0x12121	0x3000
0x12122	0x3001
0x12123	0x3002
0x12124	0xFF0C
0x12125	0xFF0E
0x12126	0x30FB
0x12127	0xFF1A
0x12128	0xFF1B
0x12129	0xFF1F
0x1212A	0xFF01
0x1212B	0x309B
0x1212C	0x309C
0x1212D	0x00B4
0x1212E	0xFF40
0x1212F	0x00A8
0x12130	0xFF3E
0x12131	0xFFE3
0x12132	0xFF3F
0x12133	0x30FD
0x12134	0x30FE
0x12135	0x309D
0x12136	0x309E
0x12137	0x3003
0x12138	0x4EDD
0x12139	0x3005
0x1213A	0x3006
0x1213B	0x3007
0x1213C	0x30FC
0x1213D	0x2014
0x1213E	0x2010
0x1213F	0xFF0F
0x12140	0xFF3C
0x12141	0x301C
0x12142	0x2016
0x12143	0xFF5C
0x12144	0x2026
0x12145	0x2025
0x12146	0x2018
0x12147	0x2019
0x12148	0x201C
0x12149	0x201D
0x1214A	0xFF08
0x1214B	0xFF09
0x1214C	0x3014
0x1214D	0x3015
0x1214E	0xFF3B
0x1214F	0xFF3D
0x12150	0xFF5B
0x12151	0xFF5D
0x12152	0x3008
0x12153	0x3009
0x12154	0x300A
0x12155	0x300B
0x12156	0x300C
0x12157	0x300D
0x12158	0x300E
0x12159	0x300F
0x1215A	0x3010
0x1215B	0x3011
0x1215C	0xFF0B
0x1215D	0x2212
0x1215E	0x00B1
0x1215F	0x00D7
0x12160	0x00F7
0x12161	0xFF1D
0x12162	0x2260
0x12163	0xFF1C
0x12164	0xFF1E
0x12165	0x2266
0x12166	0x2267
0x12167	0x221E
0x12168	0x2234
0x12169	0x2642
0x1216A	0x2640
0x1216B	0x00B0
0x1216C	0x2032
0x1216D	0x2033
0x1216E	0x2103
0x1216F	0xFFE5
0x12170	0xFF04
0x12171	0x00A2
0x12172	0x00A3
0x12173	0xFF05
0x12174	0xFF03
0x12175	0xFF06
0x12176	0xFF0A
0x12177	0xFF20
0x12178	0x00A7
0x12179	0x2606
0x1217A	0x2605
0x1217B	0x25CB
0x1217C	0x25CF
0x1217D	0x25CE
0x1217E	0x25C7
0x12221	0x25C6
0x12222	0x25A1
0x12223	0x25A0
0x12224	0x25B3
0x12225	0x25B2
0x12226	0x25BD
0x12227	0x25BC
0x12228	0x203B
0x12229	0x3012
0x1222A	0x2192
0x1222B	0x2190
0x1222C	0x2191
0x1222D	0x2193
0x1222E	0x3013
0x1222F	0xFF07
0x12230	0xFF02
0x12231	0xFF0D
0x12232	0xFF5E
0x12233	0x3033
0x12234	0x3034
0x12235	0x3035
0x12236	0x303B
0x12237	0x303C
0x12238	0x30FF
0x12239	0x309F
0x1223A	0x2208
0x1223B	0x220B
0x1223C	0x2286
0x1223D	0x2287
0x1223E	0x2282
0x1223F	0x2283
0x12240	0x222A
0x12241	0x2229
0x12242	0x2284
0x12243	0x2285
0x12244	0x228A
0x12245	0x228B
0x12246	0x2209
0x12247	0x2205
0x12248	0x2305
0x12249	0x2306
0x1224A	0x2227
0x1224B	0x2228
