descriptor_offset,token,token_id,device,flags,control,control_base,control_flags
0x0,0x00800003,0x0080,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00801003,0x0080,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00802003,0x0080,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00803003,0x0080,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00804003,0x0080,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00805003,0x0080,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00806003,0x0080,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00807003,0x0080,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00808003,0x0080,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00809003,0x0080,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0080a003,0x0080,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0080b003,0x0080,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0080c003,0x0080,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0080d003,0x0080,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0080e003,0x0080,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0080f003,0x0080,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00810003,0x0081,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00811003,0x0081,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00812003,0x0081,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00813003,0x0081,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00814003,0x0081,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00815003,0x0081,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00816003,0x0081,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00817003,0x0081,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00818003,0x0081,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00819003,0x0081,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0081a003,0x0081,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0081b003,0x0081,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0081c003,0x0081,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0081d003,0x0081,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0081e003,0x0081,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0081f003,0x0081,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00820003,0x0082,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00821003,0x0082,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00822003,0x0082,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00823003,0x0082,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00824003,0x0082,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00825003,0x0082,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00826003,0x0082,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00827003,0x0082,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00828003,0x0082,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00829003,0x0082,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0082a003,0x0082,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0082b003,0x0082,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0082c003,0x0082,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0082d003,0x0082,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0082e003,0x0082,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0082f003,0x0082,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00830003,0x0083,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00831003,0x0083,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00832003,0x0083,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00833003,0x0083,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00834003,0x0083,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00835003,0x0083,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00836003,0x0083,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00837003,0x0083,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00838003,0x0083,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00839003,0x0083,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0083a003,0x0083,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0083b003,0x0083,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0083c003,0x0083,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0083d003,0x0083,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0083e003,0x0083,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0083f003,0x0083,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00840003,0x0084,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00841003,0x0084,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00842003,0x0084,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00843003,0x0084,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00844003,0x0084,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00845003,0x0084,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00846003,0x0084,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00847003,0x0084,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00848003,0x0084,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00849003,0x0084,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0084a003,0x0084,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0084b003,0x0084,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0084c003,0x0084,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0084d003,0x0084,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0084e003,0x0084,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0084f003,0x0084,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00850003,0x0085,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00851003,0x0085,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00852003,0x0085,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00853003,0x0085,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00854003,0x0085,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00855003,0x0085,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00856003,0x0085,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00857003,0x0085,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00858003,0x0085,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00859003,0x0085,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0085a003,0x0085,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0085b003,0x0085,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0085c003,0x0085,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0085d003,0x0085,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0085e003,0x0085,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0085f003,0x0085,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00860003,0x0086,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00861003,0x0086,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00862003,0x0086,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00863003,0x0086,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00864003,0x0086,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00865003,0x0086,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00866003,0x0086,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00867003,0x0086,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00868003,0x0086,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00869003,0x0086,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0086a003,0x0086,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0086b003,0x0086,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0086c003,0x0086,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0086d003,0x0086,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0086e003,0x0086,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0086f003,0x0086,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00870003,0x0087,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00871003,0x0087,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00872003,0x0087,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00873003,0x0087,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00874003,0x0087,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00875003,0x0087,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00876003,0x0087,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00877003,0x0087,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00878003,0x0087,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00879003,0x0087,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0087a003,0x0087,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0087b003,0x0087,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0087c003,0x0087,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0087d003,0x0087,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0087e003,0x0087,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0087f003,0x0087,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00880003,0x0088,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00881003,0x0088,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00882003,0x0088,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00883003,0x0088,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00884003,0x0088,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00885003,0x0088,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00886003,0x0088,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00887003,0x0088,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00888003,0x0088,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00889003,0x0088,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0088a003,0x0088,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0088b003,0x0088,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0088c003,0x0088,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0088d003,0x0088,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0088e003,0x0088,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0088f003,0x0088,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x00890003,0x0089,unknown,3,0x00200000,0x0020,0x0000
0x0,0x00891003,0x0089,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x00892003,0x0089,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x00893003,0x0089,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x00894003,0x0089,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x00895003,0x0089,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x00896003,0x0089,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x00897003,0x0089,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x00898003,0x0089,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x00899003,0x0089,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x0089a003,0x0089,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x0089b003,0x0089,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x0089c003,0x0089,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x0089d003,0x0089,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x0089e003,0x0089,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x0089f003,0x0089,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008a0003,0x008a,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008a1003,0x008a,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008a2003,0x008a,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008a3003,0x008a,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008a4003,0x008a,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008a5003,0x008a,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008a6003,0x008a,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008a7003,0x008a,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008a8003,0x008a,unknown,32771,0x00200000,0x0020,0x0000
0x0,0x008a9003,0x008a,unknown,36867,0x00200000,0x0020,0x0000
0x0,0x008aa003,0x008a,unknown,40963,0x00200000,0x0020,0x0000
0x0,0x008ab003,0x008a,unknown,45059,0x00200000,0x0020,0x0000
0x0,0x008ac003,0x008a,unknown,49155,0x00200000,0x0020,0x0000
0x0,0x008ad003,0x008a,unknown,53251,0x00200000,0x0020,0x0000
0x0,0x008ae003,0x008a,unknown,57347,0x00200000,0x0020,0x0000
0x0,0x008af003,0x008a,unknown,61443,0x00200000,0x0020,0x0000
0x0,0x008b0003,0x008b,unknown,3,0x00200000,0x0020,0x0000
0x0,0x008b1003,0x008b,unknown,4099,0x00200000,0x0020,0x0000
0x0,0x008b2003,0x008b,unknown,8195,0x00200000,0x0020,0x0000
0x0,0x008b3003,0x008b,unknown,12291,0x00200000,0x0020,0x0000
0x0,0x008b4003,0x008b,unknown,16387,0x00200000,0x0020,0x0000
0x0,0x008b5003,0x008b,unknown,20483,0x00200000,0x0020,0x0000
0x0,0x008b6003,0x008b,unknown,24579,0x00200000,0x0020,0x0000
0x0,0x008b7003,0x008b,unknown,28675,0x00200000,0x0020,0x0000
0x0,0x008b8003,0x008b,unknown,32771,0x00200000,0x0020,0x0000
