"Issue #","Issue Name","Meeting","Status","First released version","Notes"
"`LWG2016 <https://wg21.link/LWG2016>`__","Allocators must be no-throw swappable","2014-11 (Urbana)","|Complete|","","`#103224 <https://github.com/llvm/llvm-project/issues/103224>`__",""
"`LWG2118 <https://wg21.link/LWG2118>`__","``unique_ptr``\  for array does not support cv qualification conversion of actual argument","2014-11 (Urbana)","|Complete|","","`#103225 <https://github.com/llvm/llvm-project/issues/103225>`__",""
"`LWG2170 <https://wg21.link/LWG2170>`__","Aggregates cannot be ``DefaultConstructible``\ ","2014-11 (Urbana)","|Complete|","","`#103226 <https://github.com/llvm/llvm-project/issues/103226>`__",""
"`LWG2340 <https://wg21.link/LWG2340>`__","Replacement allocation functions declared as inline","2014-11 (Urbana)","|Complete|","","`#103227 <https://github.com/llvm/llvm-project/issues/103227>`__",""
"`LWG2354 <https://wg21.link/LWG2354>`__","Unnecessary copying when inserting into maps with braced-init syntax","2014-11 (Urbana)","|Complete|","","`#103228 <https://github.com/llvm/llvm-project/issues/103228>`__",""
"`LWG2377 <https://wg21.link/LWG2377>`__","``std::align``\  requirements overly strict","2014-11 (Urbana)","|Complete|","","`#103229 <https://github.com/llvm/llvm-project/issues/103229>`__",""
"`LWG2396 <https://wg21.link/LWG2396>`__","``underlying_type``\  doesn't say what to do for an incomplete enumeration type","2014-11 (Urbana)","|Complete|","","`#103230 <https://github.com/llvm/llvm-project/issues/103230>`__",""
"`LWG2399 <https://wg21.link/LWG2399>`__","``shared_ptr``\ 's constructor from ``unique_ptr``\  should be constrained","2014-11 (Urbana)","|Complete|","","`#103231 <https://github.com/llvm/llvm-project/issues/103231>`__",""
"`LWG2400 <https://wg21.link/LWG2400>`__","``shared_ptr``\ 's ``get_deleter()``\  should use ``addressof()``\ ","2014-11 (Urbana)","|Complete|","","`#103232 <https://github.com/llvm/llvm-project/issues/103232>`__",""
"`LWG2401 <https://wg21.link/LWG2401>`__","``std::function``\  needs more noexcept","2014-11 (Urbana)","|Complete|","","`#103233 <https://github.com/llvm/llvm-project/issues/103233>`__",""
"`LWG2404 <https://wg21.link/LWG2404>`__","``mismatch()``\ 's complexity needs to be updated","2014-11 (Urbana)","|Complete|","","`#103234 <https://github.com/llvm/llvm-project/issues/103234>`__",""
"`LWG2408 <https://wg21.link/LWG2408>`__","SFINAE-friendly ``common_type``\  / ``iterator_traits``\  is missing in C++14","2014-11 (Urbana)","|Complete|","","`#103235 <https://github.com/llvm/llvm-project/issues/103235>`__",""
"`LWG2106 <https://wg21.link/LWG2106>`__","``move_iterator``\  wrapping iterators returning prvalues","2014-11 (Urbana)","|Complete|","","`#103236 <https://github.com/llvm/llvm-project/issues/103236>`__",""
"`LWG2129 <https://wg21.link/LWG2129>`__","User specializations of ``std::initializer_list``\ ","2014-11 (Urbana)","|Complete|","21","`#103237 <https://github.com/llvm/llvm-project/issues/103237>`__",""
"`LWG2212 <https://wg21.link/LWG2212>`__","``tuple_size``\  for ``const pair``\  request <tuple> header","2014-11 (Urbana)","|Complete|","","`#103238 <https://github.com/llvm/llvm-project/issues/103238>`__",""
"`LWG2217 <https://wg21.link/LWG2217>`__","``operator==(sub_match, string)``\  slices on embedded '\0's","2014-11 (Urbana)","|Complete|","","`#103239 <https://github.com/llvm/llvm-project/issues/103239>`__",""
"`LWG2230 <https://wg21.link/LWG2230>`__","""see below"" for ``initializer_list``\  constructors of unordered containers","2014-11 (Urbana)","|Complete|","","`#103240 <https://github.com/llvm/llvm-project/issues/103240>`__",""
"`LWG2233 <https://wg21.link/LWG2233>`__","``bad_function_call::what()``\  unhelpful","2014-11 (Urbana)","|Complete|","","`#103241 <https://github.com/llvm/llvm-project/issues/103241>`__",""
"`LWG2266 <https://wg21.link/LWG2266>`__","``vector``\  and ``deque``\  have incorrect insert requirements","2014-11 (Urbana)","|Complete|","","`#103242 <https://github.com/llvm/llvm-project/issues/103242>`__",""
"`LWG2325 <https://wg21.link/LWG2325>`__","``minmax_element()``\ 's behavior differing from ``max_element()``\ 's should be noted","2014-11 (Urbana)","|Complete|","","`#103243 <https://github.com/llvm/llvm-project/issues/103243>`__",""
"`LWG2361 <https://wg21.link/LWG2361>`__","Apply 2299 resolution throughout library","2014-11 (Urbana)","|Complete|","","`#103244 <https://github.com/llvm/llvm-project/issues/103244>`__",""
"`LWG2365 <https://wg21.link/LWG2365>`__","Missing noexcept in ``shared_ptr::shared_ptr(nullptr_t)``\ ","2014-11 (Urbana)","|Complete|","","`#103246 <https://github.com/llvm/llvm-project/issues/103246>`__",""
"`LWG2376 <https://wg21.link/LWG2376>`__","``bad_weak_ptr::what()``\  overspecified","2014-11 (Urbana)","|Complete|","","`#103247 <https://github.com/llvm/llvm-project/issues/103247>`__",""
