"Paper #","Paper Name","Meeting","Status","First released version","Labels"
"`P0881R7 <https://wg21.link/P0881R7>`__","A Proposal to add stacktrace library","Autumn 2020","","",""
"`P0943R6 <https://wg21.link/P0943R6>`__","Support C atomics in C++","Autumn 2020","|Complete|","15.0",""
"`P1048R1 <https://wg21.link/P1048R1>`__","A proposal for a type trait to detect scoped enumerations","Autumn 2020","|Complete|","12.0",""
"`P1679R3 <https://wg21.link/P1679R3>`__","string contains function","Autumn 2020","|Complete|","12.0",""
"","","","","",""
"`P1682R3 <https://wg21.link/P1682R3>`__","std::to_underlying for enumerations","February 2021","|Complete|","13.0",""
"`P2017R1 <https://wg21.link/P2017R1>`__","Conditionally borrowed ranges","February 2021","|Complete|","16.0","|ranges|"
"`P2160R1 <https://wg21.link/P2160R1>`__","Locks lock lockables","February 2021","Nothing to do","",""
"`P2162R2 <https://wg21.link/P2162R2>`__","Inheriting from std::variant","February 2021","|Complete|","13.0",""
"`P2212R2 <https://wg21.link/P2212R2>`__","Relax Requirements for time_point::clock","February 2021","Nothing to do","",""
"`P2259R1 <https://wg21.link/P2259R1>`__","Repairing input range adaptors and counted_iterator","February 2021","","","|ranges|"
"","","","","",""
"`P0401R6 <https://wg21.link/P0401R6>`__","Providing size feedback in the Allocator interface","June 2021","|Complete|","15.0",""
"`P0448R4 <https://wg21.link/P0448R4>`__","A strstream replacement using span<charT> as buffer","June 2021","","",""
"`P1132R8 <https://wg21.link/P1132R8>`__","out_ptr - a scalable output pointer abstraction","June 2021","|Complete|","19.0",""
"`P1328R1 <https://wg21.link/P1328R1>`__","Making std::type_info::operator== constexpr","June 2021","|Complete|","17.0",""
"`P1425R4 <https://wg21.link/P1425R4>`__","Iterators pair constructors for stack and queue","June 2021","|Complete|","14.0","|ranges|"
"`P1518R2 <https://wg21.link/P1518R2>`__","Stop overconstraining allocators in container deduction guides","June 2021","|Complete|","13.0",""
"`P1659R3 <https://wg21.link/P1659R3>`__","starts_with and ends_with","June 2021","|Complete|","19.0","|ranges|"
"`P1951R1 <https://wg21.link/P1951R1>`__","Default Arguments for pair Forwarding Constructor","June 2021","|Complete|","14.0",""
"`P1989R2 <https://wg21.link/P1989R2>`__","Range constructor for std::string_view","June 2021","|Complete|","14.0","|ranges|"
"`P2136R3 <https://wg21.link/P2136R3>`__","invoke_r","June 2021","|Complete|","17.0",""
"`P2166R1 <https://wg21.link/P2166R1>`__","A Proposal to Prohibit std::basic_string and std::basic_string_view construction from nullptr","June 2021","|Complete|","13.0",""
"","","","","",""
"`P0288R9 <https://wg21.link/P0288R9>`__","``any_invocable``","October 2021","","",""
"`P0798R8 <https://wg21.link/P0798R8>`__","Monadic operations for ``std::optional``","October 2021","|Complete|","14.0",""
"`P0849R8 <https://wg21.link/P0849R8>`__","``auto(x)``: ``DECAY_COPY`` in the language","October 2021","|Complete|","14.0",""
"`P1072R10 <https://wg21.link/P1072R10>`__","``basic_string::resize_and_overwrite``","October 2021","|Complete|","14.0",""
"`P1147R1 <https://wg21.link/P1147R1>`__","Printing ``volatile`` Pointers","October 2021","|Complete|","14.0",""
"`P1272R4 <https://wg21.link/P1272R4>`__","Byteswapping for fun&&nuf","October 2021","|Complete|","14.0",""
"`P1675R2 <https://wg21.link/P1675R2>`__","``rethrow_exception`` must be allowed to copy","October 2021","Nothing to do","",""
"`P2077R3 <https://wg21.link/P2077R3>`__","Heterogeneous erasure overloads for associative containers","October 2021","","",""
"`P2251R1 <https://wg21.link/P2251R1>`__","Require ``span`` & ``basic_string_view`` to be Trivially Copyable","October 2021","|Complete|","14.0",""
"`P2301R1 <https://wg21.link/P2301R1>`__","Add a ``pmr`` alias for ``std::stacktrace``","October 2021","","",""
"`P2321R2 <https://wg21.link/P2321R2>`__","``zip``","October 2021","|In Progress|","","|ranges|"
"`P2340R1 <https://wg21.link/P2340R1>`__","Clarifying the status of the 'C headers'","October 2021","Nothing to do","",""
"`P2393R1 <https://wg21.link/P2393R1>`__","Cleaning up ``integer``-class types","October 2021","","",""
"`P2401R0 <https://wg21.link/P2401R0>`__","Add a conditional ``noexcept`` specification to ``std::exchange``","October 2021","|Complete|","14.0",""
"","","","","",""
"`P0323R12 <https://wg21.link/P0323R12>`__","``std::expected``","February 2022","|Complete|","16.0",""
"`P0533R9 <https://wg21.link/P0533R9>`__","``constexpr`` for ``<cmath>`` and ``<cstdlib>``","February 2022","|In progress| [#note-P0533R9]_","",""
"`P0627R6 <https://wg21.link/P0627R6>`__","Function to mark unreachable code","February 2022","|Complete|","15.0",""
"`P1206R7 <https://wg21.link/P1206R7>`__","``ranges::to``: A function to convert any range to a container","February 2022","|Complete|","17.0","|ranges|"
"`P1413R3 <https://wg21.link/P1413R3>`__","Deprecate ``std::aligned_storage`` and ``std::aligned_union``","February 2022","|Complete| [#note-P1413R3]_","",""
"`P2255R2 <https://wg21.link/P2255R2>`__","A type trait to detect reference binding to temporary","February 2022","","",""
"`P2273R3 <https://wg21.link/P2273R3>`__","Making ``std::unique_ptr`` constexpr","February 2022","|Complete|","16.0",""
"`P2387R3 <https://wg21.link/P2387R3>`__","Pipe support for user-defined range adaptors","February 2022","|Complete|","19.0","|ranges|"
"`P2440R1 <https://wg21.link/P2440R1>`__","``ranges::iota``, ``ranges::shift_left`` and ``ranges::shift_right``","February 2022","","","|ranges|"
"`P2441R2 <https://wg21.link/P2441R2>`__","``views::join_with``","February 2022","|In Progress|","","|ranges|"
"`P2442R1 <https://wg21.link/P2442R1>`__","Windowing range adaptors: ``views::chunk`` and ``views::slide``","February 2022","","","|ranges|"
"`P2443R1 <https://wg21.link/P2443R1>`__","``views::chunk_by``","February 2022","|Complete|","18.0","|ranges|"
"","","","","",""
"`P0009R18 <https://wg21.link/P0009R18>`__","mdspan: A Non-Owning Multidimensional Array Reference","July 2022","|Complete|","18.0",""
"`P0429R9 <https://wg21.link/P0429R9>`__","A Standard ``flat_map``","July 2022","","",""
"`P1169R4 <https://wg21.link/P1169R4>`__","``static operator()``","July 2022","|Complete|","16.0",""
"`P1222R4 <https://wg21.link/P1222R4>`__","A Standard ``flat_set``","July 2022","","",""
"`P1223R5 <https://wg21.link/P1223R5>`__","``ranges::find_last()``, ``ranges::find_last_if()``, and ``ranges::find_last_if_not()``","July 2022","|Complete|","19.0","|ranges|"
"`P1467R9 <https://wg21.link/P1467R9>`__","Extended ``floating-point`` types and standard names","July 2022","","",""
"`P1642R11 <https://wg21.link/P1642R11>`__","Freestanding ``[utilities]``, ``[ranges]``, and ``[iterators]``","July 2022","","",""
"`P1899R3 <https://wg21.link/P1899R3>`__","``stride_view``","July 2022","","","|ranges|"
"`P2093R14 <https://wg21.link/P2093R14>`__","Formatted output","July 2022","|Complete|","18.0","|format|"
"`P2165R4 <https://wg21.link/P2165R4>`__","Compatibility between ``tuple``, ``pair`` and ``tuple-like`` objects","July 2022","","",""
"`P2278R4 <https://wg21.link/P2278R4>`__","``cbegin`` should always return a constant iterator","July 2022","","","|ranges|"
"`P2286R8 <https://wg21.link/P2286R8>`__","Formatting Ranges","July 2022","|Complete|","16.0","|format| |ranges|"
"`P2291R3 <https://wg21.link/P2291R3>`__","Add Constexpr Modifiers to Functions ``to_chars`` and ``from_chars`` for Integral Types in ``<charconv>`` Header","July 2022","|Complete|","16.0",""
