"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"[P2497R0](https://wg21.link/P2497R0)","Testing for success or failure of `<charconv>` functions","2023-06 (Varna)","{{Complete}}","18","[#105357](https://github.com/llvm/llvm-project/issues/105357)",""
"[P2592R3](https://wg21.link/P2592R3)","Hashing support for `std::chrono` value classes","2023-06 (Varna)","{{Complete}}","22","[#105358](https://github.com/llvm/llvm-project/issues/105358)",""
"[P2587R3](https://wg21.link/P2587R3)","`to_string` or not `to_string`","2023-06 (Varna)","","","[#105359](https://github.com/llvm/llvm-project/issues/105359)",""
"[P2562R1](https://wg21.link/P2562R1)","`constexpr` Stable Sorting","2023-06 (Varna)","{{Complete}}","21","[#105360](https://github.com/llvm/llvm-project/issues/105360)",""
"[P2545R4](https://wg21.link/P2545R4)","Read-Copy Update (RCU)","2023-06 (Varna)","","","[#105361](https://github.com/llvm/llvm-project/issues/105361)",""
"[P2530R3](https://wg21.link/P2530R3)","Hazard Pointers for C++26","2023-06 (Varna)","","","[#105362](https://github.com/llvm/llvm-project/issues/105362)",""
"[P2538R1](https://wg21.link/P2538R1)","ADL-proof `std::projected`","2023-06 (Varna)","{{Complete}}","18","[#105363](https://github.com/llvm/llvm-project/issues/105363)",""
"[P2495R3](https://wg21.link/P2495R3)","Interfacing `stringstream`s with `string_view`","2023-06 (Varna)","{{Complete}}","19","[#105364](https://github.com/llvm/llvm-project/issues/105364)",""
"[P2510R3](https://wg21.link/P2510R3)","Formatting pointers","2023-06 (Varna)","{{Complete}}","17","[#105365](https://github.com/llvm/llvm-project/issues/105365)","Implemented as a DR against C++20."
"[P2198R7](https://wg21.link/P2198R7)","Freestanding Feature-Test Macros and Implementation-Defined Extensions","2023-06 (Varna)","","","[#105368](https://github.com/llvm/llvm-project/issues/105368)",""
"[P2338R4](https://wg21.link/P2338R4)","Freestanding Library: Character primitives and the C library","2023-06 (Varna)","","","[#105369](https://github.com/llvm/llvm-project/issues/105369)",""
"[P2013R5](https://wg21.link/P2013R5)","Freestanding Language: Optional `::operator new`","2023-06 (Varna)","","","[#105370](https://github.com/llvm/llvm-project/issues/105370)",""
"[P2363R5](https://wg21.link/P2363R5)","Extending associative containers with the remaining heterogeneous overloads","2023-06 (Varna)","","","[#105371](https://github.com/llvm/llvm-project/issues/105371)",""
"[P1901R2](https://wg21.link/P1901R2)","Enabling the Use of `weak_ptr` as Keys in Unordered Associative Containers","2023-06 (Varna)","{{Complete}}","24","[#105372](https://github.com/llvm/llvm-project/issues/105372)",""
"[P1885R12](https://wg21.link/P1885R12)","Naming Text Encodings to Demystify Them","2023-06 (Varna)","{{Complete}}","23","[#105373](https://github.com/llvm/llvm-project/issues/105373)",""
"[P0792R14](https://wg21.link/P0792R14)","`function_ref`: a type-erased callable reference","2023-06 (Varna)","{{Complete}}","24","[#105376](https://github.com/llvm/llvm-project/issues/105376)",""
"[P2874R2](https://wg21.link/P2874R2)","P2874R2: Mandating Annex D Require No More","2023-06 (Varna)","{{Complete}}","12","[#105377](https://github.com/llvm/llvm-project/issues/105377)",""
"[P2757R3](https://wg21.link/P2757R3)","Type-checking format args","2023-06 (Varna)","","","[#105378](https://github.com/llvm/llvm-project/issues/105378)",""
