"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG3417](https://wg21.link/LWG3417)","Missing `volatile` atomic deprecations","2026-06 (Brno)","","","[#204440](https://github.com/llvm/llvm-project/issues/204440)",""
"[LWG4121](https://wg21.link/LWG4121)","`ranges::to` constructs associative containers via `c.emplace(c.end(), *it)`","2026-06 (Brno)","","","[#204441](https://github.com/llvm/llvm-project/issues/204441)",""
"[LWG4125](https://wg21.link/LWG4125)","`move_iterator`'s default constructor should be constrained","2026-06 (Brno)","{{Complete}}","23","[#204442](https://github.com/llvm/llvm-project/issues/204442)",""
"[LWG4158](https://wg21.link/LWG4158)","`packaged_task::operator=` should abandon its shared state","2026-06 (Brno)","","","[#204443](https://github.com/llvm/llvm-project/issues/204443)",""
"[LWG4182](https://wg21.link/LWG4182)","Definition of `NULL` is too broad","2026-06 (Brno)","","","[#204444](https://github.com/llvm/llvm-project/issues/204444)",""
"[LWG4218](https://wg21.link/LWG4218)","Constraint recursion in `basic_const_iterator`'s relational operators due to ADL + CWG 2369","2026-06 (Brno)","","","[#204445](https://github.com/llvm/llvm-project/issues/204445)",""
"[LWG4249](https://wg21.link/LWG4249)","The past end issue for `lazy_split_view`","2026-06 (Brno)","","","[#204446](https://github.com/llvm/llvm-project/issues/204446)",""
"[LWG4267](https://wg21.link/LWG4267)","Uses-allocator construction is meaningless for tuple of references","2026-06 (Brno)","","","[#204447](https://github.com/llvm/llvm-project/issues/204447)",""
"[LWG4359](https://wg21.link/LWG4359)","`as_awaitable(expr, p)` does not define semantics of call if `p` is not an lvalue","2026-06 (Brno)","","","[#204448](https://github.com/llvm/llvm-project/issues/204448)",""
"[LWG4385](https://wg21.link/LWG4385)","Including `<simd>` doesn't provide `std::begin`/`end`","2026-06 (Brno)","","","[#204449](https://github.com/llvm/llvm-project/issues/204449)",""
"[LWG4471](https://wg21.link/LWG4471)","Remove test for `get_env` `noexcept`-ness from `inline_scheduler`","2026-06 (Brno)","","","[#204450](https://github.com/llvm/llvm-project/issues/204450)",""
"[LWG4487](https://wg21.link/LWG4487)","Is member `is_steady` of a *Cpp17Clock* type required to be usable in constant expressions?","2026-06 (Brno)","","","[#204451](https://github.com/llvm/llvm-project/issues/204451)",""
"[LWG4490](https://wg21.link/LWG4490)","Allow calling `std::ranges::size` in ranges algorithms","2026-06 (Brno)","","","[#204452](https://github.com/llvm/llvm-project/issues/204452)",""
"[LWG4521](https://wg21.link/LWG4521)","Improve [atomics.order] p10 to have a consistent way with [intro.races]","2026-06 (Brno)","","","[#204453](https://github.com/llvm/llvm-project/issues/204453)",""
"[LWG4531](https://wg21.link/LWG4531)","Should there be a feature-test macro update for `constexpr` `std::to_(w)string`?","2026-06 (Brno)","","","[#204454](https://github.com/llvm/llvm-project/issues/204454)",""
"[LWG4567](https://wg21.link/LWG4567)","Feature test macro value for `apply_result`, `is_applicable`","2026-06 (Brno)","","","[#204455](https://github.com/llvm/llvm-project/issues/204455)",""
"[LWG4568](https://wg21.link/LWG4568)","`std::execution::spawn_future` is mishandling dependent senders","2026-06 (Brno)","","","[#204456](https://github.com/llvm/llvm-project/issues/204456)",""
"[LWG4579](https://wg21.link/LWG4579)","`make-state<Rcvr>::state-type::complete` uses `Env` which is not in scope","2026-06 (Brno)","","","[#204457](https://github.com/llvm/llvm-project/issues/204457)",""
"","","","","","",""
"[LWG4612](https://wg21.link/LWG4612)","Specify the details of `std::nullopt_t`","Not Adopted Yet","{{Complete}}","24","",""
"","","","","","",""
